Territorio,Año,Mes,Victimas,EdadVictima,EdadAgresor,VM.AG.Relación,VM.AG.Conviviencia,Denuncia
España,2003,4,0,Total,Total,Expareja,No,Había denuncia
España,2003,4,0,Total,Total,Expareja,No,No consta denuncia
España,2003,4,0,Total,Total,Expareja,No,No había denuncia
España,2003,4,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,4,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,4,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,4,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,4,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,4,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,4,0,Total,Total,Pareja,No,Había denuncia
España,2003,4,0,Total,Total,Pareja,No,No consta denuncia
España,2003,4,0,Total,Total,Pareja,No,No había denuncia
España,2003,4,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,4,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,4,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,4,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,4,5,Total,Total,Pareja,Sí,No consta denuncia
España,2003,4,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,8,0,Total,Total,Expareja,No,Había denuncia
España,2003,8,2,Total,Total,Expareja,No,No consta denuncia
España,2003,8,0,Total,Total,Expareja,No,No había denuncia
España,2003,8,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,8,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,8,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,8,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,8,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,8,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,8,0,Total,Total,Pareja,No,Había denuncia
España,2003,8,0,Total,Total,Pareja,No,No consta denuncia
España,2003,8,0,Total,Total,Pareja,No,No había denuncia
España,2003,8,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,8,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,8,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,8,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,8,6,Total,Total,Pareja,Sí,No consta denuncia
España,2003,8,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,12,0,Total,Total,Expareja,No,Había denuncia
España,2003,12,1,Total,Total,Expareja,No,No consta denuncia
España,2003,12,0,Total,Total,Expareja,No,No había denuncia
España,2003,12,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,12,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,12,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,12,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,12,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,12,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,12,0,Total,Total,Pareja,No,Había denuncia
España,2003,12,0,Total,Total,Pareja,No,No consta denuncia
España,2003,12,0,Total,Total,Pareja,No,No había denuncia
España,2003,12,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,12,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,12,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,12,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,12,2,Total,Total,Pareja,Sí,No consta denuncia
España,2003,12,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,1,0,Total,Total,Expareja,No,Había denuncia
España,2003,1,1,Total,Total,Expareja,No,No consta denuncia
España,2003,1,0,Total,Total,Expareja,No,No había denuncia
España,2003,1,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,1,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,1,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,1,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,1,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,1,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,1,0,Total,Total,Pareja,No,Había denuncia
España,2003,1,0,Total,Total,Pareja,No,No consta denuncia
España,2003,1,0,Total,Total,Pareja,No,No había denuncia
España,2003,1,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,1,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,1,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,1,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,1,7,Total,Total,Pareja,Sí,No consta denuncia
España,2003,1,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,2,0,Total,Total,Expareja,No,Había denuncia
España,2003,2,1,Total,Total,Expareja,No,No consta denuncia
España,2003,2,0,Total,Total,Expareja,No,No había denuncia
España,2003,2,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,2,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,2,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,2,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,2,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,2,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,2,0,Total,Total,Pareja,No,Había denuncia
España,2003,2,0,Total,Total,Pareja,No,No consta denuncia
España,2003,2,0,Total,Total,Pareja,No,No había denuncia
España,2003,2,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,2,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,2,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,2,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,2,3,Total,Total,Pareja,Sí,No consta denuncia
España,2003,2,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,7,0,Total,Total,Expareja,No,Había denuncia
España,2003,7,1,Total,Total,Expareja,No,No consta denuncia
España,2003,7,0,Total,Total,Expareja,No,No había denuncia
España,2003,7,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,7,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,7,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,7,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,7,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,7,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,7,0,Total,Total,Pareja,No,Había denuncia
España,2003,7,0,Total,Total,Pareja,No,No consta denuncia
España,2003,7,0,Total,Total,Pareja,No,No había denuncia
España,2003,7,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,7,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,7,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,7,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,7,7,Total,Total,Pareja,Sí,No consta denuncia
España,2003,7,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,6,0,Total,Total,Expareja,No,Había denuncia
España,2003,6,2,Total,Total,Expareja,No,No consta denuncia
España,2003,6,0,Total,Total,Expareja,No,No había denuncia
España,2003,6,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,6,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,6,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,6,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,6,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,6,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,6,0,Total,Total,Pareja,No,Había denuncia
España,2003,6,0,Total,Total,Pareja,No,No consta denuncia
España,2003,6,0,Total,Total,Pareja,No,No había denuncia
España,2003,6,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,6,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,6,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,6,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,6,5,Total,Total,Pareja,Sí,No consta denuncia
España,2003,6,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,3,0,Total,Total,Expareja,No,Había denuncia
España,2003,3,2,Total,Total,Expareja,No,No consta denuncia
España,2003,3,0,Total,Total,Expareja,No,No había denuncia
España,2003,3,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,3,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,3,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,3,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,3,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,3,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,3,0,Total,Total,Pareja,No,Había denuncia
España,2003,3,0,Total,Total,Pareja,No,No consta denuncia
España,2003,3,0,Total,Total,Pareja,No,No había denuncia
España,2003,3,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,3,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,3,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,3,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,3,4,Total,Total,Pareja,Sí,No consta denuncia
España,2003,3,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,5,0,Total,Total,Expareja,No,Había denuncia
España,2003,5,1,Total,Total,Expareja,No,No consta denuncia
España,2003,5,0,Total,Total,Expareja,No,No había denuncia
España,2003,5,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,5,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,5,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,5,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,5,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,5,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,5,0,Total,Total,Pareja,No,Había denuncia
España,2003,5,0,Total,Total,Pareja,No,No consta denuncia
España,2003,5,0,Total,Total,Pareja,No,No había denuncia
España,2003,5,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,5,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,5,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,5,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,5,6,Total,Total,Pareja,Sí,No consta denuncia
España,2003,5,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,11,0,Total,Total,Expareja,No,Había denuncia
España,2003,11,3,Total,Total,Expareja,No,No consta denuncia
España,2003,11,0,Total,Total,Expareja,No,No había denuncia
España,2003,11,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,11,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,11,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,11,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,11,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,11,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,11,0,Total,Total,Pareja,No,Había denuncia
España,2003,11,0,Total,Total,Pareja,No,No consta denuncia
España,2003,11,0,Total,Total,Pareja,No,No había denuncia
España,2003,11,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,11,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,11,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,11,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,11,6,Total,Total,Pareja,Sí,No consta denuncia
España,2003,11,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,10,0,Total,Total,Expareja,No,Había denuncia
España,2003,10,0,Total,Total,Expareja,No,No consta denuncia
España,2003,10,0,Total,Total,Expareja,No,No había denuncia
España,2003,10,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,10,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,10,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,10,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,10,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,10,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,10,0,Total,Total,Pareja,No,Había denuncia
España,2003,10,0,Total,Total,Pareja,No,No consta denuncia
España,2003,10,0,Total,Total,Pareja,No,No había denuncia
España,2003,10,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,10,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,10,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,10,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,10,2,Total,Total,Pareja,Sí,No consta denuncia
España,2003,10,0,Total,Total,Pareja,Sí,No había denuncia
España,2003,9,0,Total,Total,Expareja,No,Había denuncia
España,2003,9,2,Total,Total,Expareja,No,No consta denuncia
España,2003,9,0,Total,Total,Expareja,No,No había denuncia
España,2003,9,0,Total,Total,Expareja,No contesta,Había denuncia
España,2003,9,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2003,9,0,Total,Total,Expareja,No contesta,No había denuncia
España,2003,9,0,Total,Total,Expareja,Sí,Había denuncia
España,2003,9,0,Total,Total,Expareja,Sí,No consta denuncia
España,2003,9,0,Total,Total,Expareja,Sí,No había denuncia
España,2003,9,0,Total,Total,Pareja,No,Había denuncia
España,2003,9,0,Total,Total,Pareja,No,No consta denuncia
España,2003,9,0,Total,Total,Pareja,No,No había denuncia
España,2003,9,0,Total,Total,Pareja,No contesta,Había denuncia
España,2003,9,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2003,9,0,Total,Total,Pareja,No contesta,No había denuncia
España,2003,9,0,Total,Total,Pareja,Sí,Había denuncia
España,2003,9,2,Total,Total,Pareja,Sí,No consta denuncia
España,2003,9,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,4,0,Total,Total,Expareja,No,Había denuncia
España,2004,4,1,Total,Total,Expareja,No,No consta denuncia
España,2004,4,0,Total,Total,Expareja,No,No había denuncia
España,2004,4,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,4,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,4,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,4,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,4,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,4,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,4,0,Total,Total,Pareja,No,Había denuncia
España,2004,4,0,Total,Total,Pareja,No,No consta denuncia
España,2004,4,0,Total,Total,Pareja,No,No había denuncia
España,2004,4,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,4,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,4,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,4,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,4,5,Total,Total,Pareja,Sí,No consta denuncia
España,2004,4,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,8,0,Total,Total,Expareja,No,Había denuncia
España,2004,8,2,Total,Total,Expareja,No,No consta denuncia
España,2004,8,0,Total,Total,Expareja,No,No había denuncia
España,2004,8,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,8,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,8,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,8,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,8,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,8,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,8,0,Total,Total,Pareja,No,Había denuncia
España,2004,8,1,Total,Total,Pareja,No,No consta denuncia
España,2004,8,0,Total,Total,Pareja,No,No había denuncia
España,2004,8,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,8,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,8,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,8,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,8,3,Total,Total,Pareja,Sí,No consta denuncia
España,2004,8,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,12,0,Total,Total,Expareja,No,Había denuncia
España,2004,12,0,Total,Total,Expareja,No,No consta denuncia
España,2004,12,0,Total,Total,Expareja,No,No había denuncia
España,2004,12,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,12,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,12,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,12,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,12,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,12,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,12,0,Total,Total,Pareja,No,Había denuncia
España,2004,12,2,Total,Total,Pareja,No,No consta denuncia
España,2004,12,0,Total,Total,Pareja,No,No había denuncia
España,2004,12,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,12,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,12,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,12,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,12,6,Total,Total,Pareja,Sí,No consta denuncia
España,2004,12,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,1,0,Total,Total,Expareja,No,Había denuncia
España,2004,1,1,Total,Total,Expareja,No,No consta denuncia
España,2004,1,0,Total,Total,Expareja,No,No había denuncia
España,2004,1,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,1,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,1,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,1,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,1,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,1,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,1,0,Total,Total,Pareja,No,Había denuncia
España,2004,1,0,Total,Total,Pareja,No,No consta denuncia
España,2004,1,0,Total,Total,Pareja,No,No había denuncia
España,2004,1,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,1,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,1,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,1,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,1,1,Total,Total,Pareja,Sí,No consta denuncia
España,2004,1,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,2,0,Total,Total,Expareja,No,Había denuncia
España,2004,2,0,Total,Total,Expareja,No,No consta denuncia
España,2004,2,0,Total,Total,Expareja,No,No había denuncia
España,2004,2,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,2,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,2,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,2,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,2,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,2,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,2,0,Total,Total,Pareja,No,Había denuncia
España,2004,2,0,Total,Total,Pareja,No,No consta denuncia
España,2004,2,0,Total,Total,Pareja,No,No había denuncia
España,2004,2,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,2,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,2,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,2,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,2,5,Total,Total,Pareja,Sí,No consta denuncia
España,2004,2,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,7,0,Total,Total,Expareja,No,Había denuncia
España,2004,7,2,Total,Total,Expareja,No,No consta denuncia
España,2004,7,0,Total,Total,Expareja,No,No había denuncia
España,2004,7,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,7,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,7,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,7,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,7,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,7,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,7,0,Total,Total,Pareja,No,Había denuncia
España,2004,7,1,Total,Total,Pareja,No,No consta denuncia
España,2004,7,0,Total,Total,Pareja,No,No había denuncia
España,2004,7,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,7,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,7,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,7,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,7,4,Total,Total,Pareja,Sí,No consta denuncia
España,2004,7,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,6,0,Total,Total,Expareja,No,Había denuncia
España,2004,6,2,Total,Total,Expareja,No,No consta denuncia
España,2004,6,0,Total,Total,Expareja,No,No había denuncia
España,2004,6,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,6,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,6,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,6,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,6,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,6,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,6,0,Total,Total,Pareja,No,Había denuncia
España,2004,6,0,Total,Total,Pareja,No,No consta denuncia
España,2004,6,0,Total,Total,Pareja,No,No había denuncia
España,2004,6,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,6,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,6,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,6,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,6,4,Total,Total,Pareja,Sí,No consta denuncia
España,2004,6,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,3,0,Total,Total,Expareja,No,Había denuncia
España,2004,3,1,Total,Total,Expareja,No,No consta denuncia
España,2004,3,0,Total,Total,Expareja,No,No había denuncia
España,2004,3,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,3,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,3,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,3,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,3,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,3,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,3,0,Total,Total,Pareja,No,Había denuncia
España,2004,3,0,Total,Total,Pareja,No,No consta denuncia
España,2004,3,0,Total,Total,Pareja,No,No había denuncia
España,2004,3,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,3,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,3,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,3,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,3,5,Total,Total,Pareja,Sí,No consta denuncia
España,2004,3,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,5,0,Total,Total,Expareja,No,Había denuncia
España,2004,5,1,Total,Total,Expareja,No,No consta denuncia
España,2004,5,0,Total,Total,Expareja,No,No había denuncia
España,2004,5,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,5,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,5,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,5,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,5,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,5,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,5,0,Total,Total,Pareja,No,Había denuncia
España,2004,5,2,Total,Total,Pareja,No,No consta denuncia
España,2004,5,0,Total,Total,Pareja,No,No había denuncia
España,2004,5,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,5,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,5,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,5,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,5,5,Total,Total,Pareja,Sí,No consta denuncia
España,2004,5,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,11,0,Total,Total,Expareja,No,Había denuncia
España,2004,11,2,Total,Total,Expareja,No,No consta denuncia
España,2004,11,0,Total,Total,Expareja,No,No había denuncia
España,2004,11,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,11,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,11,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,11,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,11,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,11,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,11,0,Total,Total,Pareja,No,Había denuncia
España,2004,11,0,Total,Total,Pareja,No,No consta denuncia
España,2004,11,0,Total,Total,Pareja,No,No había denuncia
España,2004,11,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,11,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,11,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,11,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,11,2,Total,Total,Pareja,Sí,No consta denuncia
España,2004,11,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,10,0,Total,Total,Expareja,No,Había denuncia
España,2004,10,1,Total,Total,Expareja,No,No consta denuncia
España,2004,10,0,Total,Total,Expareja,No,No había denuncia
España,2004,10,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,10,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,10,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,10,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,10,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,10,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,10,0,Total,Total,Pareja,No,Había denuncia
España,2004,10,2,Total,Total,Pareja,No,No consta denuncia
España,2004,10,0,Total,Total,Pareja,No,No había denuncia
España,2004,10,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,10,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,10,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,10,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,10,4,Total,Total,Pareja,Sí,No consta denuncia
España,2004,10,0,Total,Total,Pareja,Sí,No había denuncia
España,2004,9,0,Total,Total,Expareja,No,Había denuncia
España,2004,9,3,Total,Total,Expareja,No,No consta denuncia
España,2004,9,0,Total,Total,Expareja,No,No había denuncia
España,2004,9,0,Total,Total,Expareja,No contesta,Había denuncia
España,2004,9,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2004,9,0,Total,Total,Expareja,No contesta,No había denuncia
España,2004,9,0,Total,Total,Expareja,Sí,Había denuncia
España,2004,9,0,Total,Total,Expareja,Sí,No consta denuncia
España,2004,9,0,Total,Total,Expareja,Sí,No había denuncia
España,2004,9,0,Total,Total,Pareja,No,Había denuncia
España,2004,9,0,Total,Total,Pareja,No,No consta denuncia
España,2004,9,0,Total,Total,Pareja,No,No había denuncia
España,2004,9,0,Total,Total,Pareja,No contesta,Había denuncia
España,2004,9,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2004,9,0,Total,Total,Pareja,No contesta,No había denuncia
España,2004,9,0,Total,Total,Pareja,Sí,Había denuncia
España,2004,9,4,Total,Total,Pareja,Sí,No consta denuncia
España,2004,9,0,Total,Total,Pareja,Sí,No había denuncia
España,2005,4,0,Total,Total,Expareja,No,Había denuncia
España,2005,4,0,Total,Total,Expareja,No,No consta denuncia
España,2005,4,0,Total,Total,Expareja,No,No había denuncia
España,2005,4,0,Total,Total,Expareja,No contesta,Había denuncia
España,2005,4,0,Total,Total,Expareja,No contesta,No consta denuncia
España,2005,4,0,Total,Total,Expareja,No contesta,No había denuncia
España,2005,4,0,Total,Total,Expareja,Sí,Había denuncia
España,2005,4,0,Total,Total,Expareja,Sí,No consta denuncia
España,2005,4,0,Total,Total,Expareja,Sí,No había denuncia
España,2005,4,0,Total,Total,Pareja,No,Había denuncia
España,2005,4,0,Total,Total,Pareja,No,No consta denuncia
España,2005,4,0,Total,Total,Pareja,No,No había denuncia
España,2005,4,0,Total,Total,Pareja,No contesta,Había denuncia
España,2005,4,0,Total,Total,Pareja,No contesta,No consta denuncia
España,2005,4,0,Total,Total,Pareja,No contesta,No había denuncia
España,2005,4,0,Total,Total,Pareja,Sí,Había denuncia
España,2005,4,4,Total,Total,Pareja,Sí,No consta denuncia
